budget,popularity,revenue,runtime,tagline,title,vote_average,vote_count
52000000,40.06688,116112375,178,No one stays at the top forever.,Casino,7.8,1307
52000000,27.916284,52826594,92,Two agents. One city. No merci.,From Paris with Love,6.1,675
52000000,15.20707,0,104,A power beyond measure requires a protector without equal.,Bulletproof Monk,5.1,278
51000000,39.001682,149270999,116,From gentle to mental.,"Me, Myself & Irene",6.1,927
51000000,10.430832,72779000,90,What happens in the barn stays in the barn,Barnyard,5.3,225
0,5.952527,47231070,93,There glows the neighborhood,Deck the Halls,5.1,109
50000000,94.815867,709827462,130,The Next Chapter Begins.,The Twilight Saga: New Moon,5.6,2436
60000000,67.298732,484409218,90,The greatest fairy tale never told.,Shrek,7.3,4056
50200000,26.60772,127869379,106,Fight for your fate.,The Adjustment Bureau,6.5,1652
48000000,28.803729,390493908,143,"For the good of all men, and the love of one woman, he fought to uphold justice by breaking the law.",Robin Hood: Prince of Thieves,6.6,909
50000000,27.039636,273552592,139,Everybody loved him... Everybody disappeared.,Jerry Maguire,6.7,913
50000000,68.87691,549368315,106,Ted is coming.,Ted,6.3,4697
50000000,37.885022,314178011,139,A comedy from the heart that goes for the throat.,As Good as It Gets,7.2,915
50000000,35.537397,202292902,115,Laughter is contagious,Patch Adams,7,832
50000000,38.125008,173649015,119,It's kind of a big deal,Anchorman 2: The Legend Continues,6,923
50000000,18.121404,171269535,96,"Small town kid, big time right hook.",Mr. Deeds,5.6,644
50000000,37.069253,260095987,112,It Arrives.,Super 8,6.6,2435
52000000,30.347332,256271286,131,She brought a small town to its feet and a huge corporation to its knees.,Erin Brockovich,7.1,716
50000000,23.854701,177371441,116,One of them is lying. So is the other.,How to Lose a Guy in 10 Days,6.3,850
50000000,52.380982,188441614,112,They're not 21 anymore,22 Jump Street,7,3319
60000000,50.163785,223664608,123,Drink from me and live forever,Interview with the Vampire,7.2,1516
70000000,43.849351,225990978,104,One Word Can Change Everything.,Yes Man,6.4,1813
50000000,45.318703,216972543,107,Saving the world takes a little Hart and a big Johnson,Central Intelligence,6.2,1650
0,16.368283,0,124,Be there for the joy. Be there for the tears. Be there for each other.,Stepmom,6.9,277
50000000,38.616744,242786137,96,Choose your Daddy,Daddy's Home,5.8,854
50000000,65.90161,212902372,125,Be careful what you wish for...,Into the Woods,5.6,1652
45000000,45.220386,184376254,129,It looked like the perfect bank robbery. But you can't judge a crime by its cover.,Inside Man,7.3,1630
90000000,17.457947,161626121,100,No More Mr. Nice Guy.,Payback,6.7,548
50000000,10.755847,152022101,109,Where you are the endangered species.,Congo,5,213
50000000,38.629763,120081841,124,A True Zoo Story,We Bought a Zoo,6.5,909
50000000,32.693093,155446362,121,Knowing is everything...,Knowing,5.9,1486
50000000,18.806031,88715192,97,"To leave the nest, some men just need a little push.",Failure to Launch,5.5,399
50000000,32.233713,161451538,110,The dead don't sleep.,The Ring Two,5.4,632
50000000,37.990705,142851197,118,This Is Stupid,"Crazy, Stupid, Love.",7,2443
50000000,17.667826,200804534,80,Get ready for frisky business.,Garfield,5.2,820
60000000,9.225166,0,99,No! Ho! Ho!,Christmas with the Kranks,5.2,193
50000000,46.180421,110206216,133,What are you really worth?,Moneyball,7,1381
50000000,30.397496,189859560,127,This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.,Outbreak,6.3,513
50000000,83.295796,222809600,106,The hijacking was just the beginning.,Non-Stop,6.8,2268
50000000,23.935053,106303988,98,The race is on,Race to Witch Mountain,5.5,509
54000000,84.630969,132511035,132,People should not be afraid of their governments. Governments should be afraid of their people.,V for Vendetta,7.7,4442
50000000,16.251204,88323487,115,A Royal Kick In The Arse.,Shanghai Knights,6,692
50000000,9.894346,69834815,86,Get Carried Away With The Cutest Little Monkey Around!,Curious George,6.2,106
50000000,12.050755,66002004,101,Start your engines...,Herbie Fully Loaded,5.1,542
50000000,11.596207,100020092,113,...I'll never tell.,Don't Say a Word,6,220
50000000,53.02787,224803475,88,Classic tale. New twist.,Hansel & Gretel: Witch Hunters,5.7,3239
50000000,14.382253,119137784,124,Where do you go when you've gone too far?,Unfaithful,6.3,276
50000000,43.450266,144492830,109,Three like him have already been killed…he is Number Four.,I Am Number Four,5.9,1567
50000000,16.871194,94000000,128,Everything is connected.,Syriana,6.3,451
50000000,42.526529,69411370,144,"When everything went wrong, six men had the courage to do what was right.",13 Hours: The Secret Soldiers of Benghazi,7,938
50000000,34.890999,97437106,95,,The Book of Life,7.3,755
45000000,18.186026,82800000,105,Nothing Is More Dangerous Than A Man With Everything To Lose.,Firewall,5.6,267
50000000,13.576765,50068310,121,Corrupts Absolutely.,Absolute Power,6.4,223
50000000,19.434672,48169156,125,Failure is not an option.,G.I. Jane,6,395
50000000,62.925175,109423648,129,What do you get for the man who has everything?,The Game,7.5,1506
50000000,32.927994,97607453,125,We've been expecting you.,Silent Hill,6.3,1067
0,14.837288,0,118,Throw the ball. Catch the girl. Keep it simple.,The Replacements,6.1,203
50000000,39.920035,234989584,113,Save the best piece for last.,American Reunion,6.1,1611
50000000,28.725621,44547681,140,He frees hostages for a living. Now he's taking hostages to survive.,The Negotiator,6.8,582
50000000,20.566554,160602194,89,Prepare to go,Into the Storm,5.8,817
50000000,20.333953,119208989,104,,Beverly Hills Cop III,5.5,434
50000000,33.98637,41482207,106,Here they grow again.,Gremlins 2: The New Batch,6.2,652
50000000,42.472324,83719388,141,Defend your Honor.,The Judge,7.2,1417
50000000,15.931084,0,124,How do you get the world's attention?,The Peacemaker,5.8,255
45000000,29.880122,129394835,94,You're all going to die.,Resident Evil: Apocalypse,6.1,1267
50000000,28.803802,40203020,108,Same Bridget. Brand new diary.,Bridget Jones: The Edge of Reason,6.1,750
50000000,14.993459,55495563,105,The Clock Is Ticking...,Out of Time,6.1,298
50000000,9.114168,49000000,102,His Battle To Save The Alaskan Wilderness And Protect Its People Can Only Be Won...,On Deadly Ground,4.5,104
50000000,12.31101,69425966,92,Smaller heroes. Just as super.,The Adventures of Sharkboy and Lavagirl,4.4,269
40000000,41.362082,144056873,119,Somewhere on this planet it must exist.,The Beach,6.3,1233
50000000,13.298205,49718611,119,Her uptown life gets turned inside out!,Raising Helen,5.9,189
40000000,19.085403,60462347,99,"Fear not the weapon, but the hand that wields it.",Ninja Assassin,6.2,371
50000000,9.622345,0,137,Billy Chapel must choose between the woman he loves and the game he lives for.,For Love of the Game,6.3,88
50000000,11.106006,113309743,115,Some People Get Into Trouble No Matter What They WEAR.,Striptease,4.4,205
50000000,12.25622,83761844,87,Live Large,Marmaduke,5,149
50000000,13.365715,105197635,129,Touched by death. Changed by life.,Hereafter,5.8,510
50000000,16.167093,56714147,120,The only flaw in their plan was her.,Murder by Numbers,6,268
50000000,23.073933,30303072,132,"In the shadows of life, In the business of death, One man found a reason to live...",Assassins,6,387
50000000,6.567065,82169884,121,It started with revenge.,Hannibal Rising,6,654
50000000,6.22577,58900031,95,,The Story of Us,5.9,75
44000000,42.933027,63327201,125,You will be one of us,The Host,6,1817
50000000,19.226763,42792561,98,Deception is their most deadly weapon.,Basic,6.2,286
50000000,10.089065,26199517,110,He's a heartbeat away from catching the killer,Blood Work,6.1,206
50000000,13.391833,60161391,118,Is your money making a killing?,The International,6,368
50000000,21.637234,42277365,97,Snake Is Back.,Escape from L.A.,5.6,373
70000000,61.245957,23159305,86,It came from outer space!,The Iron Giant,7.6,1436
50000000,25.237969,34808403,119,"The deeper you go, the weirder life gets.",The Life Aquatic with Steve Zissou,7.1,775
50000000,21.589393,25035950,139,Based on the incredible true story.,Free State of Jones,6.6,428
50000000,22.442241,38955598,130,The crime is clear. The truth is not.,The Life of David Gale,7.3,480
40000000,6.004422,0,100,Protecting witnesses is a challenge. Living with them is impossible.,Man of the House,5.4,120
50000000,74.64653,71561644,114,No sin goes unpunished,Run All Night,6.3,1148
51500000,35.481169,55112356,100,Every sin leaves a mark.,Eastern Promises,7.2,848
50000000,14.723467,44434439,110,Treasure has its price.,Into the Blue,5.8,458
60000000,21.084542,66976317,148,,The Messenger: The Story of Joan of Arc,6.2,367
49900000,21.408222,26121638,102,Get your quest on.,Your Highness,5.2,501
50000000,19.267479,38502340,84,"Once upon a time, there were two little girls who lived in a house.",Dream House,5.8,391
50000000,3.314004,10541523,114,One man will make a mistake. The other will make it a spectacle.,Mad City,5.9,81
50000000,21.312186,16671505,99,No bib. No crib. No problem.,Baby's Day Out,5.8,274
50000000,7.44268,10382407,135,"When intimacy is forbidden and passion is a sin, love is the most defiant crime of all.",The Scarlet Letter,5.5,108
22000000,12.54949,24188922,108,Wife. Mother. Spy.,Fair Game,6.5,235
50000000,18.394571,22944502,127,Heads You Live... Tails You Die.,Domino,6,444
50000000,8.189406,9851610,95,Some fantasies go too far.,Jade,5.2,44
50000000,27.631262,40828540,95,"In the near future, you don't live to play... you'll play to live.",Gamer,5.6,760
60000000,40.721373,60052138,124,Dark secrets will come to light.,Beautiful Creatures,5.6,984
55000000,11.329727,0,109,Get ready for an unexpected hit.,Death to Smoochy,5.9,132
50000000,37.253774,55969000,100,Long time no Z,Zoolander 2,4.7,797
50000000,6.397388,6808550,88,It's all in who you trust,The Big Bounce,5,76
60000000,2.275331,0,105,"To save his planet, an alien must find a woman on Earth to have his baby. There's just one problem.",What Planet Are You From?,5.4,37
50000000,30.387148,28931401,105,One hell of a ride.,Drive Angry,5.3,600
50000000,8.139676,12764201,97,Some fight for power. Some fight for us.,Street Fighter: The Legend of Chun-Li,3.9,112
49000000,21.746245,72700000,87,Stealing the power of the universes one by one.,The One,5.7,437
49000000,2.808428,20423389,104,Kojak. Columbo. Dirty Harry. Wimps.,The Adventures of Ford Fairlane,6.2,71
50000000,31.02233,36348784,116,On air. Off shore. Out of control.,The Boat That Rocked,7.2,666
48000000,25.170217,207515725,147,No one gets away clean,Traffic,6.9,562
48000000,80.972475,474171806,127,"The man with the hat is back. And this time, he's bringing his Dad.",Indiana Jones and the Last Crusade,7.6,3152
0,26.38704,68929150,130,An epic story of love.,Anna Karenina,6.5,639
49000000,116.700319,104399548,120,I am consciousness. I am alive. I am Chappie.,Chappie,6.6,3062
73000000,33.884459,151493655,118,Serial killer vs. forensic genius,The Bone Collector,6.5,826
48000000,53.043124,196397415,111,,Panic Room,6.5,1267
0,0.716764,0,0,,The Tooth Fairy,4.3,13
75000000,34.973086,108000000,114,It's good to be King.,Three Kings,6.6,692
50000000,40.371098,3324330,137,How do you find a killer who doesn’t exist?,Child 44,6.1,547
48000000,18.60049,85498534,112,563 miles. 9 people. $2 million. 1001 problems!,Rat Race,6,518
48000000,30.920075,50315140,120,Change the way you look at the world.,K-PAX,7.1,695
0,11.940711,0,118,If they lived in the same century they'd be perfect for each other.,Kate & Leopold,6,418
48000000,19.348007,90383208,93,Meet the Devil. She's giving Elliott seven wishes. But not a chance in Hell.,Bedazzled,5.6,512
58000000,8.59075,25928721,127,It was the jazz age. It was an era of elegance and violence. The action was gambling. The stakes were life and death.,The Cotton Club,6.6,68
55000000,48.801089,70016220,122,Time waits for one man.,3:10 to Yuma,6.9,1188
48000000,88.844777,325771424,109,It Ends Here,Taken 3,6.1,2200
48000000,16.000178,77745568,123,Opposites attract.,Out of Sight,6.5,333
47000000,19.525659,102825796,96,There's no such thing as free cable.,The Cable Guy,5.7,594
0,1.246883,528972,101,,Earth,6.6,9
47000000,7.859226,103738726,103,Their turf. Their game. Their rules. They didn't count on HIS law...,Dick Tracy,5.9,251
48000000,18.102572,124305181,113,How do you get the man who has everything?,The Thomas Crown Affair,6.6,339
48000000,7.226115,35743308,132,One day can make your life; one day can ruin your life. All life is is four or five big days that change everything.,Riding in Cars with Boys,6.5,103
15000000,63.071046,125212904,93,This time he's fighting for his life.,First Blood,7.2,1488
0,24.132271,0,167,,Solaris,7.7,357
47000000,10.410933,38085778,75,Fairy Tale Endings Aren't What They Used To Be,Happily N'Ever After,4.6,104
47000000,6.067212,12379402,104,The untold story of Jekyll and Hyde,Mary Reilly,5.7,74
38000000,15.401855,299288605,105,It's about finding the love of your life. And deciding what to do about it.,My Best Friend's Wedding,6.3,584
0,10.698929,0,102,Hollywood's hottest couple just split up. It'll take more than special effects to reunite them.,America's Sweethearts,5.5,252
46000000,41.322708,113714830,118,A tough cop. A brilliant killer. An unspeakable crime.,Insomnia,6.8,1148
46000000,25.6713,150000000,111,Resistance is futile.,Star Trek: First Contact,7,661
47000000,22.581313,10539000,80,Revenge gets ugly.,Jonah Hex,4.4,420
46000000,12.971122,100860818,117,A medal for honor. A search for justice. A battle for truth.,Courage Under Fire,6.2,232
45000000,26.721386,181000000,86,Trust me.,Liar Liar,6.4,1424
25000000,24.672234,15436808,127,The true story of one man against the biggest drug cartel in history.,The Infiltrator,6.6,573
46000000,0.146783,5200000,140,LOVE. DESTINY. HEROES. War Changes Everything.,Inchon,6.5,2
46000000,28.964162,341631208,91,Yabba-Dabba-Doo!,The Flintstones,5,543
45000000,49.353524,376141306,91,First they took his daughter. Now they're coming for him.,Taken 2,6.1,2757
48000000,36.585509,220673217,84,Great trilogies come in threes.,Scary Movie 3,5.8,912
45000000,32.624355,212000000,111,Never Mess With An Agent In A Dress.,Miss Congeniality,6.1,961
45000000,53.090422,101702060,93,Same Planet. Different World.,Journey to the Center of the Earth,5.8,1309
40000000,30.002907,95149435,113,It can take a lifetime to find true love; she's got 30 days!,The Princess Diaries 2: Royal Engagement,6,697
45000000,17.923254,195268056,141,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.,The Pelican Brief,6.3,371
45000000,17.746719,117615211,119,A district attorney out for a conviction. A new lawyer out of her league. A young boy who knew too much.,The Client,6.4,278
45000000,31.305336,175372502,97,Find the joy.,The Bucket List,7,1111
45000000,19.637704,178051587,117,Not for honor. Not for country. For his wife and child.,Patriot Games,6.3,433
43000000,10.411996,154749918,101,This relationship is going to be a real mother.,Monster-in-Law,5.6,406
46000000,88.496873,122126687,153,Every moment matters.,Prisoners,7.9,3085
45000000,52.081131,104876233,122,"The only thing more dangerous than the line being crossed, is the cop who will cross it.",Training Day,7.3,1634
45000000,30.816341,90683916,102,A comedy of Galactic Proportions.,Galaxy Quest,6.9,710
45000000,35.376971,141220678,83,No More Mercy. No More Shame. No More Sequels - Honest! - We Lied.,Scary Movie 2,5.4,982
45000000,17.047276,165184237,103,They're closer than you think.,The Muppets,6.5,501
45000000,43.815492,131183530,120,Part Man. Part Vampire. All Hero.,Blade,6.5,1905
30000000,23.234651,76669806,136,It begins on the street. It ends here.,Coach Carter,7.3,496
45000000,17.270539,94935764,89,"An ambitious lawyer, a desperate father, they had no reason to meet, until today,",Changing Lanes,5.9,299
45000000,27.684779,136885767,89,When You Can't Breathe You Can't Scream.,Anaconda,4.7,610
45000000,26.79781,113916474,100,This party never ends.,Coyote Ugly,5.8,575
40000000,37.073127,244931766,135,The ultimate romantic comedy.,Love Actually,7,1869
120000000,87.350802,363258859,95,An epic presentation of miniature proportions.,A Bug's Life,6.8,2303
35000000,26.134678,74558115,122,Only the legend will survive.,From Hell,6.6,741
45000000,16.582709,170362582,110,The government taught him to kill. Now he's using his skills to help a woman seek revenge against the Miami underworld.,The Specialist,5.5,313
45000000,10.731574,53854588,135,Golf Pro. Love Amateur.,Tin Cup,5.9,150
0,2.094151,0,111,Their wedding night set new attendence records,"Yours, Mine and Ours",6.2,26
45000000,8.99269,56070433,95,One man could lead this team to glory. . . That man was busy,Kicking & Screaming,5.6,176
50000000,51.742065,104478416,109,Don't leave Earth without it.,The Hitchhiker's Guide to the Galaxy,6.6,1315
0,7.157635,0,93,,Fat Albert,4.3,69
45000000,12.06538,148412065,94,The Extinction Is Coming...,Resident Evil: Extinction,6.1,1292
40000000,44.120328,123494610,117,"Single Dad, No Clue. Single Mum, Flying Solo.",Blended,6.6,1006
45000000,6.156015,38399961,112,She always thought she was somebody special... and she was.,Last Holiday,6.4,119
45000000,12.362876,0,111,The vacation is over,The River Wild,6.1,210
45000000,11.095914,0,96,,The Indian in the Cupboard,5.9,134
45000000,31.856589,82966152,131,Young Beautiful Deadly.,Savages,6.2,766
25000000,24.459948,56422687,94,If the signal dies so does she,Cellular,6.1,537
40000000,28.029015,160583018,88,"He knows no fear, he knows no danger, he knows nothing.",Johnny English,6,852
50000000,20.239061,55181129,88,The battle for the lawn is on.,The Ant Bully,5.5,366
40000000,25.876582,30925690,137,"A world beyond your experience, beyond your imagination.",Dune,6.5,562
0,11.872841,0,133,All you need is love.,Across the Universe,7.1,410
35000000,20.360549,75225693,119,How do you break free without breaking apart?,Revolutionary Road,6.7,796
55000000,32.31022,65664721,105,"For a New York cop and his witness, the distance between life and death just got very short.",16 Blocks,6.2,661
70000000,27.568194,72108608,101,Kill or be Killed.,Babylon A.D.,5.4,676
45000000,6.250282,0,92,Two good cops. One bad situation.,The Glimmer Man,4.7,100
45000000,11.120344,0,117,"Sometimes to get more out of life, you have to make more of yourself.",Multiplicity,5.5,154
45000000,13.707183,57881056,86,The aliens vs. the Pearsons,Aliens in the Attic,5.3,244
35000000,12.495436,29400000,123,,The Pledge,6.5,215
45000000,6.803965,38058335,134,,The Producers,6.1,151
45000000,9.025236,17300889,100,Slam Evil!,The Phantom,4.7,136
57000000,7.524671,0,117,Some passions can never be tamed.,All the Pretty Horses,5.8,60
44000000,3.770161,13681765,192,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",Nixon,7.1,71
45000000,21.118196,60222298,128,Read between the lies.,The Ghost Writer,6.7,670
45000000,6.513856,11203026,106,Full Scream Ahead,Deep Rising,6,154
45000000,11.387408,9323833,160,,Miracle at St. Anna,6.3,90
110,9.950505,0,114,Unspeakable secrets are hidden within the Forbidden City.,Curse of the Golden Flower,6.6,203
45000000,14.813057,42487390,99,There's only one way out.,Bangkok Dangerous,5,332
40000000,5.201688,8493890,85,They have forty-five minutes to save the world. They need forty-six.,Big Trouble,6.3,80
45000000,5.361699,4607608,139,How long would you wait for love?,Love in the Time of Cholera,6.4,81
45000000,3.848893,2154540,103,,Shadow Conspiracy,4,11
45000000,35.6585,160078586,101,One man. One mission. No chance.,Johnny English Reborn,6,1007
65000000,5.258726,73706,87,When good food... goes bad!,Foodfight!,2.3,28
44500000,62.01056,232324128,120,The movie was fake. The mission was real.,Argo,7.1,3423
44000000,54.884297,368875760,130,A murdered wife. A one-armed man. An obsessed detective. The chase begins.,The Fugitive,7.2,1220
40000000,33.747825,136000000,110,"It's a Job. It Isn't Personal. Well, Maybe a Little...",The Bounty Hunter,5.5,858
44000000,16.245068,165615285,147,When friendship runs deeper than blood.,Sleepers,7.3,715
44000000,38.653969,300400432,96,"What most people call hell, he calls home.",Rambo: First Blood Part II,6.3,864
44000000,3.937352,0,118,There is no defense.,The Juror,5.5,89
2600000,46.007991,84300000,88,For anyone who has ever wished upon a star.,Pinocchio,6.9,1355
44000000,5.380124,3484331,219,The only thing greater than their passion for America... was their passion for each other.,Heaven's Gate,6.4,55
50000000,49.020045,111340801,106,"My God. Brother, what have you done?",Underworld: Evolution,6.4,1528
40000000,24.821138,34227298,109,Discover the origin of the monster and his creation.,Victor Frankenstein,5.6,685
43000000,19.043286,80049764,136,"In an ordinary place, he found the one person to make his life extraordinary.",Finding Forrester,7,302
43000000,5.418921,0,103,The Life of the Party... before she got a life.,28 Days,6,208
45000000,25.999888,50871113,103,Serve No Master,Unleashed,6.6,518
43000000,18.65632,68696770,84,A romantic comedy without the sugar.,The Sweetest Thing,5.3,280
42000000,23.736535,270248367,154,Power can be murder to resist.,The Firm,6.6,501
44000000,21.75433,48190704,99,Life is for living.,Charlie St. Cloud,6.8,566
40000000,44.094856,51070807,93,Someone has to fix the problems.,The Mechanic,6.3,1045
42000000,62.714026,201585328,109,They thought the streets were mean. Then they went back to high school.,21 Jump Street,6.7,4074
42000000,28.969151,363889678,124,Can the most famous film star in the world fall for the man on the street?,Notting Hill,7,1262
45000000,31.789029,224834564,84,This ain't no chick flick. It's poultry in motion.,Chicken Run,6.5,1150
42000000,33.238296,171963386,90,"For the most cautious man on Earth, life is about to get interesting.",Along Came Polly,5.8,773
40000000,6.420434,70100000,117,A Player Who's About to be Played.,Boomerang,5.4,134
43000000,37.654688,158674180,117,Action's never been so hot!,The Heat,6.5,1575
31115000,13.244365,71000000,248,The motion picture the world has been waiting for!,Cleopatra,6.7,146
0,26.799913,73100172,105,No one will fight for his students like Mr. Voss.,Here Comes the Boom,6,593
42000000,14.046705,63781810,115,Everything you trust. Everything you know. May be a lie...,High Crimes,6.1,184
42000000,3.844926,0,126,A story about just how wrong two people can be before they can be right.,The Mirror Has Two Faces,6.5,47
32000000,14.733513,55157539,119,What do you see?,The Mothman Prophecies,6.1,305
42000000,16.122168,0,83,Borat was so 2006,Brüno,5.4,518
32000000,28.22119,156167015,133,His bad side is a dangerous place to be.,Licence to Kill,5.9,541
42000000,45.151657,89162162,100,Who's afraid?,Red Riding Hood,5.6,922
60000000,15.205371,56359980,120,America Likes to Watch,15 Minutes,5.7,191
48000000,14.587367,20915465,104,This Ain't No Game.,Super Mario Bros.,4,232
42000000,34.828241,24127895,122,"Where there's a will, there's a weapon",Lord of War,7,1335
31000000,23.607392,177394432,99,One man's strength will unite an empire.,Hero,7.2,635
40000000,19.438503,36893721,91,She's looking for a few not-so-good men,One for the Money,5.3,388
44000000,74.168016,12342632,112,The Film Hackers Tried To Get Banned,The Interview,6.1,2304
42000000,7.349497,11087569,100,Assassin. Hero. Legend.,The Warrior's Way,6.3,136
33000000,7.663515,14000000,100,Non Stop Madness,Micmacs,6.8,148
41000000,32.798571,215000000,110,Every moment is another chance.,8 Mile,6.8,1626
0,5.794466,0,100,These feet are made for walkin',Why I Did (Not) Eat My Father,5.3,125
65000000,36.670399,117487473,132,He Will Rock You,A Knight's Tale,6.6,907
41000000,14.653718,0,88,,The Medallion,5.3,281
40000000,73.085576,672806292,107,Not every gift is a blessing.,The Sixth Sense,7.7,3147
42000000,34.041407,46221189,102,You can only push an innocent man so far,Man on a Ledge,6.2,925
41000000,9.419726,7448385,100,Everyone is searching for something.,The Big Year,5.6,248
8000000,28.456572,90815558,126,Only the 'Old One' could teach him the secrets of the masters.,The Karate Kid,6.9,891
40000000,49.664128,251171807,138,Everyone Hustles To Survive,American Hustle,6.8,2807
40000000,36.238968,317375031,108,Here comes the bribe...,The Proposal,6.7,1804
70000000,19.439386,177841558,105,Murder isn't always a crime.,Double Jeopardy,6.2,278
40000000,43.345252,332000000,108,"Roads? Where we're going, we don't need roads!",Back to the Future Part II,7.4,3829
40000000,115.241998,126546825,89,The average person uses 10% of their brain capacity. Imagine what she could do with 100%.,Lucy,6.3,5878
40000000,98.755657,571006128,125,Are you curious?,Fifty Shades of Grey,5.2,3254
38000000,21.998734,197011982,84,3rd Mission. 3rd Dimension.,Spy Kids 3-D: Game Over,4.7,511
40000000,25.219805,152266007,149,Experience a time you'll never forget.,A Time to Kill,7,509
40000000,26.516624,190212113,98,Growing pains? They've got twelve of them!,Cheaper by the Dozen,6,699
40000000,37.084384,149295601,121,Based on True Acts of Courage,Lone Survivor,7.4,1526
40000000,21.661028,107458785,128,"To achieve the incredible, you have to attempt the impossible.",A League of Their Own,6.7,354
40000000,68.794673,320170008,134,The next true story from the case files of Ed and Lorraine Warren,The Conjuring 2,7,1949
40000000,69.27822,224920315,120,You don't get to 500 million friends without making a few enemies.,The Social Network,7.1,3391
40000000,26.253357,177259441,129,Are you the exception...or the rule?,He's Just Not That Into You,6.2,959
45000000,32.549282,178262620,83,Bury the grudge. Burn the village.  See the saw.,Scary Movie 4,5.3,750
40000000,24.992057,161834276,116,Someone has taken their love of trilogies one step too far.,Scream 3,5.7,736
40000000,45.769562,244527583,118,They've saved the best trip for last... But this time they may have gone too far.,Back to the Future Part III,7.1,2900
40000000,36.301202,111811453,100,An education in incarceration.,Get Hard,5.9,944
40000000,45.022964,215862692,128,Love never dies.,Dracula,7.1,1056
40000000,22.853006,129540499,123,Based on Two True Stories,Julie & Julia,6.6,560
40000000,31.884559,95020213,128,The True Story Of An American Legend,42,6.8,787
40000000,31.385257,128798265,139,How far would you go to become someone else?,The Talented Mr. Ripley,7,767
40000000,67.767785,169837010,110,The Second Parts Are More Fools,Dumb and Dumber To,5.4,1127
40000000,24.287306,120455994,120,"The Most Amazing Story Of Survival, Friendship, And Adventure Ever Told.",Eight Below,6.7,542
35000000,53.114573,194564672,121,Experience never gets old,The Intern,7.1,1881
40000000,25.136082,124827316,102,The brothers-in-law are back,Ride Along 2,6.1,555
40000000,37.776566,75505856,112,The first American hero.,The Last of the Mohicans,7.1,732
40000000,21.743321,124731534,152,The extraordinary life story of Ray Charles.,Ray,7.2,467
40000000,66.003433,158733820,124,Walk down the right back alley in Sin City and you can find anything...,Sin City,7.2,2691
40000000,24.862767,151161491,90,"8 Strangers, 8 points of view.  1 Truth.",Vantage Point,6.2,716
41000000,25.391899,91636986,105,He needed a best man... He got the worst.,"I Love You, Man",6.5,515
40000000,29.854773,141069860,114,Are You A Shallow Guy?,Shallow Hal,5.7,731
40000000,26.82041,205405498,189,The story that won’t go away.,JFK,7.5,502
40000000,17.61292,138259062,99,The momma of all comedies is back!!!,Big Momma's House 2,5.4,371
57000000,21.021809,147845033,123,Love with the safety off.,The Mexican,5.8,441
20000000,52.571674,136267476,102,Who says you're only young once?,17 Again,6.1,1350
40000000,34.519636,196781193,109,The oddest friends are about to get even,The Other Woman,6.2,1437
40000000,32.478077,186167139,82,Rest In Pieces,The Final Destination,5.4,831
40000000,48.445978,165478348,141,"In the shadow of war, one man showed the world what we stood for.",Bridge of Spies,7.2,2583
40000000,24.012986,91753202,106,His only weapon is his will to survive.,Behind Enemy Lines,6,457
40000000,17.869443,90029656,109,Aaron Green has 72 hours to get a Rock Star from London to L.A. Pray for him.,Get Him to the Greek,5.9,612
50000000,14.231899,170128460,107,Step out of the ordinary,Shall We Dance?,5.9,297
40000000,23.088571,54682547,110,"The few, the proud, and the small.",Small Soldiers,6.2,511
40000000,19.833664,87840042,96,Born in darkness. Sworn to justice.,Spawn,5,336
35000000,26.595983,75395048,131,Prepare for adventure. Count on revenge.,The Count of Monte Cristo,7.3,453
40000000,26.072228,85412898,119,This Case is a Dangerous Game of Life and Death,The Lincoln Lawyer,7,902
30000000,38.643914,130786397,113,Take Back Your Life,Unknown,6.5,1265
40000000,74.440708,109676311,130,Are You Watching Closely?,The Prestige,8,4391
42000000,82.185281,107670357,108,New Crime. Same Tools.,Horrible Bosses 2,6.1,1536
40000000,18.14218,74597643,89,Earth's greatest secrets are about to break out!,Escape from Planet Earth,5.7,332
40000000,41.570047,120175290,139,No one can outrun their destiny.,Apocalypto,7.3,1221
40000000,23.331459,191185897,130,Licensed to thrill.,The Living Daylights,6.2,440
40000000,47.649554,126248813,107,Fear is Reborn,Predators,6,1206
0,7.519433,0,116,Tom Logan has a law partner who put a dog on the witness stand. A client who can't enter a room without a crime being committed. And a case that could turn out to be the murder of the year. His.,Legal Eagles,5.8,51
40000000,32.908414,92913171,96,The most important part of a story is the ending.,Secret Window,6.4,972
40000000,29.88736,114830111,99,How do you hold on to someone you've never met?,The Lake House,6.5,670
43000000,29.105407,91974818,104,Fearing Is Believing,The Skeleton Key,6.4,573
0,16.394452,51854875,105,He's a force of nature.,The Odd Life of Timothy Green,6.5,386
40000000,19.574774,84601681,101,He'll do anything to get the groom out of the picture.,Made of Honor,6,394
40000000,14.199933,67347013,134,,Jersey Boys,6.8,255
40000000,12.229516,45916769,135,They were totally unqualified to try the case of a lifetime... but every underdog has his day.,The Rainmaker,6.7,235
40000000,27.303608,141591324,98,Because someone is dead doesn't mean they're gone.,Gothika,5.8,629
36000000,3.698276,74000000,155,Freedom is not given. It is our right at birth. But there are some moments when it must be taken.,Amistad,6.8,316
